BaobabID,Latitude_DecDegSouth,Longitude_DecDegreesEast,Elevation_masl,NewDamage_cm,OldDamage_cm,DamageScars_cm,UndamagedUnscared_cm,TotalCircumference_cm
1A,3.87069,36.02083,1087,0,0.32,5.91,0,6.23
1B,3.85937,36.02278,1206,0,0.65,5.22,0,5.87
1C,3.85055,36.01951,1173,0,0.33,15.98,0,16.31
1D,3.84184,36.02011,1161,0,0.39,14.73,0,15.12
2A,3.74017,35.9691,1075,0.29,3.23,12.62,0,16.14
2B,3.76824,36.05181,1084,0.29,3.83,9.76,0,13.88
2C,3.75233,36.071,1099,1.11,4.82,2.49,0,8.42
2D,3.75112,36.08606,1129,0.1,1.26,3.93,0,5.29
2E,3.76114,36.09604,1109,0.75,0,13.69,0,14.44
2F,3.76794,36.10201,1141,0.22,1.22,6.81,0,8.25
3A,3.7796,36.03358,1057,0,1.38,6.68,0,8.06
3B,3.77846,36.03146,1046,5.06,3.03,3.61,0,11.7
3C,3.77743,36.02943,1052,0.92,3.58,5.23,0,9.73
3D,3.77631,36.0264,1046,0.93,1.2,11.96,0,14.09
4A,3.80691,36.00973,1074,3.77,3.38,9.97,0,17.12
4B,3.75614,35.98557,1064,0.31,4.07,8.18,0,12.56
4C,3.78956,36.05394,1072,0,0.63,5.42,0,6.05
4D,3.79516,36.05131,1048,1.73,1.79,7.72,0,11.24
5B,3.91811,36.0644,1124,0.7,1.44,6.49,0,8.63
5D,3.94045,36.07213,1121,0.66,1.94,8.93,0,11.53
5E,3.94498,36.07149,1121,1.4,2.55,5.53,0,9.48
5F,3.98097,36.07324,1137,0.34,2.92,10.75,0,14.01
5G,3.98101,36.06422,1170,0.31,0.51,13.69,0,14.51
5H,3.98525,36.05582,1191,0.51,3.03,14.57,0,18.11
5I,3.98624,36.05479,1195,0.91,1.37,14.15,0,16.43
5J,3.9885,36.05066,1213,0.16,0.26,8.52,0,8.94
5K,3.98146,36.04064,1185,0,0.93,5.02,0,5.95
5L,3.97789,36.0238,1203,0,1.15,8.5,0,9.65
5M,3.96747,36.0248,1224,0,0.96,13.85,0,14.81
5N,3.95324,36.0257,1317,0.21,0.83,13.98,0,15.02
5O,3.94314,36.01975,1276,1.41,0.75,8.76,0,10.92
5P,3.91263,36.03582,1220,0.55,1.65,16.23,0,18.43
5Q,3.91333,36.03989,1215,0.12,1.29,8.32,0,9.73
5R,3.90959,36.04355,1182,0,0.17,12.55,0,12.72
6A,3.74021,35.96921,1070,0.05,0.56,14.92,0,15.53
6B,3.9059,35.98455,1119,0,0,13.94,0,13.94
6C,3.90494,35.97851,1150,0.14,0.34,9.03,0,9.51
6D,3.90184,35.9708,1100,0,0.1,15.17,0,15.27
6E,3.90071,35.96843,1102,2.08,0.76,15.95,0,18.79
6F,3.891,35.95443,1040,0,0,14.27,0.08,14.35
6G,3.89029,35.95065,1054,0.46,0,27.49,0,27.95
6H,3.88797,35.94027,1047,0,0.73,11.69,0,12.42
6I,3.87655,35.92647,1008,0,0.11,12.04,0,12.15
6J,3.87956,35.92546,1015,0,0.1,13.98,0,14.08
6K,3.88831,35.92448,1034,0,1.01,9.08,0,10.09
6L,3.89189,35.92262,1007,0,0.27,9.12,0.03,9.42
6M,3.90717,35.91911,994,0,0.35,10.4,0,10.75
6N,3.90971,35.92588,1019,0.15,0.24,9.31,0,9.7
6O,3.91239,35.93037,1042,0,0.11,8.88,0,8.99
6P,3.91707,35.93586,1063,1.1,0.52,8.38,0,10
6Q,3.92472,35.95109,1085,0.18,1.07,1.01,0,2.26
6R,3.93882,35.96691,1254,0.22,1.37,7.86,0,9.45
6S,3.95151,35.97255,1248,0.18,0.77,4.72,0,5.67
6T,3.96689,35.98474,1232,0.77,0.79,4.49,0,6.05
6U,3.96959,35.99637,1245,0,1.01,9.7,0,10.71
6V,3.972297,36.00799,1230,0.1,0.22,15.13,0,15.45
6W,3.97351,36.01348,1231,0,0.03,9.66,0,9.69
7A,3.88424,36.07186,1090,0.1,1.47,11.69,0,13.26
7B,3.88699,36.07332,1086,2.7,5.99,1.67,0,10.36
7C,3.88405,36.07419,1096,0.18,1.44,22,0,23.62
7D,3.87325,36.07465,1089,0.24,1.04,17.22,0,18.5
7E,3.87083,36.07565,1087,1.89,1.72,3.8,0,7.41
7F,3.86817,36.07502,1101,0.62,0.49,5.05,0,6.16
7G,3.85833,36.074797,1100,0,0.84,12.03,0,12.87
7H,3.84241,36.074467,1100,1.22,5.58,24.01,0,30.81
7I,3.8396,36.074507,1101,1.01,2.29,13.12,0,16.42
7J,3.83514,36.07331,1091,0.82,1.44,19.13,0,21.39
7K,3.82588,36.07359,1094,0.58,2.24,7.92,0,10.74
7L,3.82231,36.07401,1085,1.24,2.25,10.53,0,14.02
7M,3.82073,36.07403,1112,1.22,1.49,11.31,0,14.02
7N,3.8087,36.07414,1113,0.49,2.75,16.52,0,19.76
8A,3.70509,36.04023,1062,0.98,0.13,9.29,0.25,10.65
